13557, 12796, 12078, 11400, 10760, 10156, 9586, 9048, 8540, 8061, 7609, 7182, 
6778, 6398, 6039, 5700, 5380, 5078, 4793, 4524, 4270, 4030, 3804, 3591, 
3389, 3199, 3019, 2850, 2690, 2539, 2397, 2262, 2135, 2015, 1902, 1795, 
1695, 1600, 1510, 1425, 1345, 1270, 1198, 1131, 1068, 1008, 951, 898, 
847, 800, 755, 712, 673, 635, 599, 566, 534, 504, 476, 449, 
424, 400, 377, 356, 336, 317, 300, 283, 267, 252, 238, 224, 
212, 200, 189, 178, 168, 159, 150, 141, 133, 126, 119, 112, 
106, 100, 94, 89, 84, 79, 75, 71, 67, 63, 59, 56, 
